Committee,Code
Subcommittee on Aviation (Committee on Transportation and Infrastructure),PW05
Subcommittee on Coast Guard and Maritime Transportation (Committee on Transportation and Infrastructure),PW07
"Subcommittee on Economic Development, Public Buildings, and Emergency Management (Committee on Transportation and Infrastructure)",PW13
Subcommittee on Highways and Transit (Committee on Transportation and Infrastructure),PW12
"Subcommittee on Railroads, Pipelines, and Hazardous Materials (Committee on Transportation and Infrastructure)",PW14
Subcommittee on Water Resources and Environment (Committee on Transportation and Infrastructure),PW02
Committee on Veterans' Affairs,VR00
Subcommittee on Disability Assistance and Memorial Affairs (Committee on Veterans' Affairs),VR09
Subcommittee on Economic Opportunity (Committee on Veterans' Affairs),VR10
Subcommittee on Health (Committee on Veterans' Affairs),VR03
Subcommittee on Oversight and Investigations (Committee on Veterans' Affairs),VR08
Subcommittee on Technology Modernization (Committee on Veterans' Affairs),VR11
Committee on Ways and Means,WM00
Subcommittee on Health (Committee on Ways and Means),WM02
Subcommittee on Oversight (Committee on Ways and Means),WM06
Subcommittee on Social Security (Committee on Ways and Means),WM01
Subcommittee on Tax (Committee on Ways and Means),WM05
Subcommittee on Trade (Committee on Ways and Means),WM04
Subcommittee on Work and Welfare (Committee on Ways and Means),WM03
Joint Committee on the Library,JL00
Joint Committee on Printing,JP00
Joint Committee on Taxation,IT00
Joint Economic Committee,EC00
Permanent Select Committee on Intelligence,IG00
Subcommittee on Central Intelligence Agency (Permanent Select Committee on Intelligence),IG01
Subcommittee on Defense Intelligence and Overhead Architecture (Permanent Select Committee on Intelligence),IG04
Subcommittee on National Intelligence Enterprise (Permanent Select Committee on Intelligence),IG06
Subcommittee on National Security Agency and Cyber (Permanent Select Committee on Intelligence),IG02
Subcommittee on Oversight and Investigations (Permanent Select Committee on Intelligence),IG09
Select Committee on the  Strategic Competition Between the United States and the Chinese Communist Party,ZS00
