,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
AP02,Rodney P. Frelinghuysen,Kay Granger,Ander Crenshaw,Ken Calvert,Tom Cole,Steve Womack,Robert B. Aderholt,John R. Carter,Mario Diaz-Balart,Tom Graves,Peter J. Visclosky,Betty McCollum,Steve Israel,Tim Ryan,C. A. Dutch Ruppersberger,Marcy Kaptur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP10,Michael K. Simpson,Rodney P. Frelinghuysen,Ken Calvert,"Charles J. ""Chuck"" Fleischmann",Jeff Fortenberry,Kay Granger,Jaime Herrera Beutler,David G. Valadao,Marcy Kaptur,Peter J. Visclosky,Michael M. Honda,Lucille Roybal-Allard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP23,Ander Crenshaw,Tom Graves,Kevin Yoder,Steve Womack,Jaime Herrera Beutler,Mark E. Amodei,E. Scott Rigell,Jose E. Serrano,Mike Quigley,"Sanford D. Bishop,  Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP15,John R. Carter,John Abney Culberson,Rodney P. Frelinghuysen,"Charles J. ""Chuck"" Fleischmann",Andy Harris,Chris Stewart,David Young,Lucille Roybal-Allard,David E. Price,Henry Cuellar,Marcy Kaptur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP06,Ken Calvert,Michael K. Simpson,Tom Cole,David P. Joyce,Chris Stewart,Mark E. Amodei,Evan H. Jenkins,Betty McCollum,Chellie Pingree,Derek Kilmer,Steve Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP07,Tom Cole,Michael K. Simpson,Steve Womack,"Charles J. ""Chuck"" Fleischmann",Andy Harris,Martha Roby,Charles W. Dent,E. Scott Rigell,Rosa L. DeLauro,Lucille Roybal-Allard,Barbara Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP24,Tom Graves,Mark E. Amodei,E. Scott Rigell,Evan H. Jenkins,Steven M. Palazzo,Debbie Wasserman Schultz,Sam Farr,Betty McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP18,Charles W. Dent,Jeff Fortenberry,Thomas J. Rooney,Martha Roby,David G. Valadao,David P. Joyce,David W. Jolly,"Sanford D. Bishop,  Jr.",Sam Farr,David E. Price,Barbara Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP04,Kay Granger,Mario Diaz-Balart,Charles W. Dent,Ander Crenshaw,Thomas J. Rooney,Jeff Fortenberry,Chris Stewart,Nita M. Lowey,Barbara Lee,C. A. Dutch Ruppersberger,Debbie Wasserman Schultz,Jose E. Serrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP20,Mario Diaz-Balart,David P. Joyce,John Abney Culberson,Kevin Yoder,David W. Jolly,David Young,Evan H. Jenkins,David E. Price,Mike Quigley,Tim Ryan,Henry Cuellar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS00,Mac Thornberry,Walter B. Jones,J. Randy Forbes,Jeff Miller,Joe Wilson,Frank A. LoBiondo,Rob Bishop,Michael R. Turner,John Kline,Mike Rogers,Trent Franks,Bill Shuster,K. Michael Conaway,Doug Lamborn,Robert J. Wittman,Duncan Hunter,John Fleming,Mike Coffman,Christopher P. Gibson,Vicky Hartzler,Joseph J. Heck,Austin Scott,Mo Brooks,Richard B. Nugent,Paul Cook,Jim Bridenstine,Brad R. Wenstrup,Jackie Walorski,Bradley Byrne,Sam Graves,Ryan K. Zinke,Elise M. Stefanik,Martha McSally,Stephen Knight,Thomas MacArthur,Steve Russell,Adam Smith,Loretta Sanchez,Robert A. Brady,Susan A. Davis,James R. Langevin,Rick Larsen,Jim Cooper,Madeleine Z. Bordallo,Joe Courtney,Niki Tsongas,John Garamendi,"Henry C. ""Hank"" Johnson,  Jr.",Jackie Speier,Tammy Duckworth,Scott H. Peters,Marc A. Veasey,Tulsi Gabbard,Timothy J. Walz,Beto O'Rourke,Donald Norcross,Ruben Gallego,Gwen Graham,Brad Ashford,Seth Moulton,Pete Aguilar
AS26,Joe Wilson,John Kline,Bill Shuster,Duncan Hunter,Richard B. Nugent,Ryan K. Zinke,Trent Franks,Doug Lamborn,Mo Brooks,Bradley Byrne,Elise M. Stefanik,James R. Langevin,Jim Cooper,John Garamendi,Marc A. Veasey,Donald Norcross,Brad Ashford,Pete Aguilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS02,Joseph J. Heck,Walter B. Jones,John Kline,Mike Coffman,Thomas MacArthur,Elise M. Stefanik,Paul Cook,Stephen Knight,Susan A. Davis,Robert A. Brady,Niki Tsongas,Jackie Speier,Timothy J. Walz,Beto O'Rourke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS06,Vicky Hartzler,Jeff Miller,K. Michael Conaway,Joseph J. Heck,Austin Scott,Martha McSally,Jackie Speier,Jim Cooper,"Henry C. ""Hank"" Johnson,  Jr.",Gwen Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS03,Robert J. Wittman,Rob Bishop,Vicky Hartzler,Austin Scott,Elise M. Stefanik,Frank A. LoBiondo,Mike Rogers,Christopher P. Gibson,Richard B. Nugent,Brad R. Wenstrup,Sam Graves,Steve Russell,Madeleine Z. Bordallo,Susan A. Davis,Joe Courtney,Tammy Duckworth,Scott H. Peters,Tulsi Gabbard,Beto O'Rourke,Ruben Gallego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS28,J. Randy Forbes,K. Michael Conaway,Bradley Byrne,Robert J. Wittman,Duncan Hunter,Vicky Hartzler,Paul Cook,Jim Bridenstine,Jackie Walorski,Ryan K. Zinke,Stephen Knight,Steve Russell,Joe Courtney,James R. Langevin,Rick Larsen,Madeleine Z. Bordallo,"Henry C. ""Hank"" Johnson,  Jr.",Scott H. Peters,Tulsi Gabbard,Gwen Graham,Seth Moulton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS29,Mike Rogers,Trent Franks,Doug Lamborn,Mike Coffman,Mo Brooks,Jim Bridenstine,J. Randy Forbes,Rob Bishop,Michael R. Turner,John Fleming,Jim Cooper,Loretta Sanchez,Rick Larsen,John Garamendi,Brad Ashford,Pete Aguilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS25,Michael R. Turner,Frank A. LoBiondo,John Fleming,Christopher P. Gibson,Paul Cook,Brad R. Wenstrup,Jackie Walorski,Sam Graves,Martha McSally,Stephen Knight,Thomas MacArthur,Walter B. Jones,Joe Wilson,Loretta Sanchez,Niki Tsongas,"Henry C. ""Hank"" Johnson,  Jr.",Tammy Duckworth,Marc A. Veasey,Timothy J. Walz,Donald Norcross,Ruben Gallego,Gwen Graham,Seth Moulton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU00,Tom Price,Scott Garrett,Mario Diaz-Balart,Tom Cole,Tom McClintock,Diane Black,Todd Rokita,Rob Woodall,Vicky Hartzler,Marlin A. Stutzman,Frank C. Guinta,Mark Sanford,Steve Womack,Dave Brat,Rod Blum,Alexander X. Mooney,Glenn Grothman,Gary J. Palmer,John R. Moolenaar,Bruce Westerman,James B. Renacci,Bill Johnson,Chris Van Hollen,John A. Yarmuth,"Bill Pascrell,  Jr.",Tim Ryan,Gwen Moore,Kathy Castor,Jim McDermott,Barbara Lee,Mark Pocan,Michelle Lujan Grisham,Debbie Dingell,Ted Lieu,Donald Norcross,Seth Moulton,,,,,,,,,,,,,,,,,,,,,,,,,
ED00,John Kline,Joe Wilson,Virginia Foxx,Duncan Hunter,David P. Roe,Glenn Thompson,Tim Walberg,Matt Salmon,Brett Guthrie,Todd Rokita,Lou Barletta,Joseph J. Heck,Luke Messer,Bradley Byrne,Dave Brat,"Earl L. ""Buddy"" Carter",Mike Bishop,Glenn Grothman,Steve Russell,Carlos Curbelo,Elise M. Stefanik,Rick W. Allen,"Robert C. ""Bobby"" Scott",Ruben Hinojosa,Susan A. Davis,Rael M. Grijalva,Joe Courtney,Marcia L. Fudge,Jared Polis,Gregorio Kilili Camacho Sablan,Frederica S. Wilson,Suzanne Bonamici,Mark Pocan,Mark Takano,Hakeem S. Jeffries,Katherine M. Clark,Alma S. Adams,Mark DeSaulnier,,,,,,,,,,,,,,,,,,,,,,,
ED14,Todd Rokita,Duncan Hunter,Glenn Thompson,Dave Brat,"Earl L. ""Buddy"" Carter",Mike Bishop,Glenn Grothman,Steve Russell,Carlos Curbelo,Marcia L. Fudge,Susan A. Davis,Rael M. Grijalva,Gregorio Kilili Camacho Sablan,Suzanne Bonamici,Mark Takano,Katherine M. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED10,Tim Walberg,Duncan Hunter,Glenn Thompson,Todd Rokita,Dave Brat,Mike Bishop,Steve Russell,Elise M. Stefanik,Frederica S. Wilson,Mark Pocan,Katherine M. Clark,Alma S. Adams,Mark DeSaulnier,Marcia L. Fudge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED13,Virginia Foxx,David P. Roe,Matt Salmon,Brett Guthrie,Lou Barletta,Joseph J. Heck,Luke Messer,Bradley Byrne,Carlos Curbelo,Elise M. Stefanik,Rick W. Allen,Ruben Hinojosa,Hakeem S. Jeffries,Alma S. Adams,Mark DeSaulnier,Susan A. Davis,Rael M. Grijalva,Joe Courtney,Jared Polis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED02,David P. Roe,Joe Wilson,Virginia Foxx,Tim Walberg,Matt Salmon,Brett Guthrie,Lou Barletta,Joseph J. Heck,Luke Messer,Bradley Byrne,"Earl L. ""Buddy"" Carter",Glenn Grothman,Rick W. Allen,Jared Polis,Joe Courtney,Mark Pocan,Ruben Hinojosa,Gregorio Kilili Camacho Sablan,Frederica S. Wilson,Suzanne Bonamici,Mark Takano,Hakeem S. Jeffries,"Robert C. ""Bobby"" Scott",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF00,Fred Upton,Joe Barton,John Shimkus,Joseph R. Pitts,Greg Walden,Tim Murphy,Michael C. Burgess,Marsha Blackburn,Steve Scalise,Robert E. Latta,Cathy McMorris Rodgers,Gregg Harper,Leonard Lance,Brett Guthrie,Pete Olson,David B. McKinley,Mike Pompeo,Adam Kinzinger,H. Morgan Griffith,Gus M. Bilirakis,Bill Johnson,Billy Long,Renee L. Ellmers,Larry Bucshon,Bill Flores,Susan W. Brooks,Markwayne Mullin,Richard Hudson,Chris Collins,Kevin Cramer,"Frank Pallone,  Jr.",Bobby L. Rush,Anna G. Eshoo,Eliot L. Engel,Gene Green,Diana DeGette,Lois Capps,Michael F. Doyle,Janice D. Schakowsky,G. K. Butterfield,Doris O. Matsui,Kathy Castor,John P. Sarbanes,Jerry McNerney,Peter Welch,Ben Ray Lujen,Paul Tonko,John A. Yarmuth,Yvette D. Clarke,David Loebsack,Kurt Schrader,"Joseph P. Kennedy,  III",Tony Cerdenas,,,,,,,,
IF17,Michael C. Burgess,Leonard Lance,Marsha Blackburn,Gregg Harper,Brett Guthrie,Pete Olson,Mike Pompeo,Adam Kinzinger,Gus M. Bilirakis,Susan W. Brooks,Markwayne Mullin,Fred Upton,Janice D. Schakowsky,Yvette D. Clarke,"Joseph P. Kennedy,  III",Tony Cerdenas,Bobby L. Rush,G. K. Butterfield,Peter Welch,Frank Pallone Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF16,Greg Walden,Robert E. Latta,John Shimkus,Marsha Blackburn,Steve Scalise,Leonard Lance,Brett Guthrie,Pete Olson,Mike Pompeo,Adam Kinzinger,Gus M. Bilirakis,Bill Johnson,Billy Long,Renee L. Ellmers,Chris Collins,Kevin Cramer,Joe Barton,Fred Upton,Anna G. Eshoo,Michael F. Doyle,Peter Welch,John A. Yarmuth,Yvette D. Clarke,David Loebsack,Bobby L. Rush,Diana DeGette,G. K. Butterfield,Doris O. Matsui,Jerry McNerney,Ben Ray Lujen,Frank Pallone Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF03,Pete Olson,John Shimkus,Joseph R. Pitts,Robert E. Latta,Gregg Harper,David B. McKinley,Mike Pompeo,Adam Kinzinger,H. Morgan Griffith,Bill Johnson,Billy Long,Renee L. Ellmers,Bill Flores,Markwayne Mullin,Richard Hudson,Joe Barton,Fred Upton,Bobby L. Rush,Jerry McNerney,Paul Tonko,Eliot L. Engel,Gene Green,Lois Capps,Michael F. Doyle,Kathy Castor,John P. Sarbanes,Peter Welch,John A. Yarmuth,David Loebsack,Frank Pallone Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF18,John Shimkus,Gregg Harper,Joseph R. Pitts,Tim Murphy,Robert E. Latta,David B. McKinley,Bill Johnson,Larry Bucshon,Bill Flores,Richard Hudson,Kevin Cramer,Fred Upton,Paul Tonko,Kurt Schrader,Gene Green,Diana DeGette,Lois Capps,Michael F. Doyle,Jerry McNerney,Tony Cerdenas,Frank Pallone Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF14,Joseph R. Pitts,Brett Guthrie,John Shimkus,Tim Murphy,Michael C. Burgess,Marsha Blackburn,Cathy McMorris Rodgers,Leonard Lance,H. Morgan Griffith,Gus M. Bilirakis,Billy Long,Renee L. Ellmers,Larry Bucshon,Susan W. Brooks,Chris Collins,Joe Barton,Fred Upton,Gene Green,Eliot L. Engel,Lois Capps,Janice D. Schakowsky,G. K. Butterfield,Kathy Castor,John P. Sarbanes,Doris O. Matsui,Ben Ray Lujen,Kurt Schrader,"Joseph P. Kennedy,  III",Tony Cerdenas,Frank Pallone Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF02,Tim Murphy,David B. McKinley,Michael C. Burgess,Marsha Blackburn,H. Morgan Griffith,Larry Bucshon,Bill Flores,Susan W. Brooks,Markwayne Mullin,Richard Hudson,Chris Collins,Kevin Cramer,Joe Barton,Fred Upton,Diana DeGette,Janice D. Schakowsky,Kathy Castor,Paul Tonko,John A. Yarmuth,Yvette D. Clarke,"Joseph P. Kennedy,  III",Gene Green,Peter Welch,Frank Pallone Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE00,Marsha Blackburn,Joseph R. Pitts,Diane Black,Larry Bucshon,Sean P. Duffy,Andy Harris,Vicky Hartzler,Mia B. Love,Janice D. Schakowsky,Jerrold Nadler,Diana DeGette,Jackie Speier,Suzan K. DelBene,Bonnie Watson Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO00,Charles W. Dent,Patrick Meehan,Trey Gowdy,Susan W. Brooks,Kenny Marchant,Linda T. Senchez,Michael E. Capuano,Yvette D. Clarke,Theodore E. Deutch,John B. Larson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00,Jeb Hensarling,Peter T. King,Edward R. Royce,Frank D. Lucas,Scott Garrett,Randy Neugebauer,Patrick T. McHenry,Stevan Pearce,Bill Posey,Michael G. Fitzpatrick,Lynn A. Westmoreland,Blaine Luetkemeyer,Bill Huizenga,Sean P. Duffy,Robert Hurt,Steve Stivers,Stephen Lee Fincher,Marlin A. Stutzman,Mick Mulvaney,Randy Hultgren,Dennis A. Ross,Robert Pittenger,Ann Wagner,Andy Barr,Keith J. Rothfus,Luke Messer,David Schweikert,Frank C. Guinta,Scott R. Tipton,Roger Williams,Bruce Poliquin,Mia B. Love,J. French Hill,Tom Emmer,Maxine Waters,Carolyn B. Maloney,Nydia M. Velezquez,Brad Sherman,Gregory W. Meeks,Michael E. Capuano,Ruben Hinojosa,Wm. Lacy Clay,Stephen F. Lynch,David Scott,Al Green,Emanuel Cleaver,Gwen Moore,Keith Ellison,Ed Perlmutter,James A. Himes,"John C. Carney,  Jr.",Terri A. Sewell,Bill Foster,Daniel T. Kildee,Patrick Murphy,John K. Delaney,Kyrsten Sinema,Joyce Beatty,Denny Heck,Juan Vargas,
BA16,Scott Garrett,Robert Hurt,Peter T. King,Edward R. Royce,Randy Neugebauer,Patrick T. McHenry,Bill Huizenga,Sean P. Duffy,Steve Stivers,Stephen Lee Fincher,Randy Hultgren,Dennis A. Ross,Ann Wagner,Luke Messer,David Schweikert,Bruce Poliquin,J. French Hill,Jeb Hensarling,Carolyn B. Maloney,Brad Sherman,Ruben Hinojosa,Stephen F. Lynch,Ed Perlmutter,David Scott,James A. Himes,Keith Ellison,Bill Foster,Gregory W. Meeks,"John C. Carney,  Jr.",Terri A. Sewell,Patrick Murphy,Maxine Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA15,Randy Neugebauer,Stevan Pearce,Frank D. Lucas,Bill Posey,Michael G. Fitzpatrick,Lynn A. Westmoreland,Blaine Luetkemeyer,Marlin A. Stutzman,Mick Mulvaney,Robert Pittenger,Andy Barr,Keith J. Rothfus,Frank C. Guinta,Scott R. Tipton,Roger Williams,Mia B. Love,Tom Emmer,Jeb Hensarling,Wm. Lacy Clay,Gregory W. Meeks,Ruben Hinojosa,David Scott,Carolyn B. Maloney,Nydia M. Velezquez,Brad Sherman,Stephen F. Lynch,Michael E. Capuano,John K. Delaney,Denny Heck,Kyrsten Sinema,Juan Vargas,Maxine Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA04,Blaine Luetkemeyer,Lynn A. Westmoreland,Edward R. Royce,Scott Garrett,Stevan Pearce,Bill Posey,Robert Hurt,Steve Stivers,Dennis A. Ross,Andy Barr,Keith J. Rothfus,Roger Williams,Jeb Hensarling,Emanuel Cleaver,Nydia M. Velezquez,Michael E. Capuano,Wm. Lacy Clay,Al Green,Gwen Moore,Keith Ellison,Joyce Beatty,Daniel T. Kildee,Maxine Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA20,Bill Huizenga,Mick Mulvaney,Frank D. Lucas,Stevan Pearce,Lynn A. Westmoreland,Marlin A. Stutzman,Robert Pittenger,Luke Messer,David Schweikert,Frank C. Guinta,Mia B. Love,Tom Emmer,Jeb Hensarling,Gwen Moore,Bill Foster,Ed Perlmutter,James A. Himes,"John C. Carney,  Jr.",Terri A. Sewell,Patrick Murphy,Daniel T. Kildee,Denny Heck,Maxine Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA09,Sean P. Duffy,Michael G. Fitzpatrick,Peter T. King,Patrick T. McHenry,Robert Hurt,Stephen Lee Fincher,Mick Mulvaney,Randy Hultgren,Ann Wagner,Scott R. Tipton,Bruce Poliquin,J. French Hill,Jeb Hensarling,Al Green,Michael E. Capuano,Emanuel Cleaver,Keith Ellison,John K. Delaney,Joyce Beatty,Denny Heck,Kyrsten Sinema,Juan Vargas,Maxine Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA00,Edward R. Royce,Christopher H. Smith,Ileana Ros-Lehtinen,Dana Rohrabacher,Steve Chabot,Joe Wilson,Michael T. McCaul,Ted Poe,Matt Salmon,Darrell E. Issa,Tom Marino,Jeff Duncan,Mo Brooks,Paul Cook,"Randy K. Weber,  Sr.",Scott Perry,Ron DeSantis,Mark Meadows,Ted S. Yoho,Curt Clawson,Scott DesJarlais,Reid J. Ribble,David A. Trott,Lee M. Zeldin,"Daniel M. Donovan,  Jr.",Eliot L. Engel,Brad Sherman,Gregory W. Meeks,Albio Sires,Gerald E. Connolly,Theodore E. Deutch,Brian Higgins,Karen Bass,William R. Keating,David N. Cicilline,Alan Grayson,Ami Bera,Alan S. Lowenthal,Grace Meng,Lois Frankel,Tulsi Gabbard,Joaquin Castro,Robin L. Kelly,Brendan F. Boyle,,,,,,,,,,,,,,,,,
FA16,Christopher H. Smith,Mark Meadows,Curt Clawson,Scott DesJarlais,"Daniel M. Donovan,  Jr.",Karen Bass,David N. Cicilline,Ami Bera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA05,Matt Salmon,Dana Rohrabacher,Steve Chabot,Tom Marino,Jeff Duncan,Mo Brooks,Scott Perry,Scott DesJarlais,Brad Sherman,Ami Bera,Tulsi Gabbard,Alan S. Lowenthal,Gerald E. Connolly,Grace Meng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA14,Dana Rohrabacher,Ted Poe,Tom Marino,Mo Brooks,Paul Cook,"Randy K. Weber,  Sr.",Reid J. Ribble,David A. Trott,Gregory W. Meeks,Albio Sires,Theodore E. Deutch,William R. Keating,Lois Frankel,Tulsi Gabbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA13,Ileana Ros-Lehtinen,Steve Chabot,Joe Wilson,Darrell E. Issa,"Randy K. Weber,  Sr.",Ron DeSantis,Mark Meadows,Ted S. Yoho,Curt Clawson,David A. Trott,Lee M. Zeldin,Theodore E. Deutch,Gerald E. Connolly,Brian Higgins,David N. Cicilline,Alan Grayson,Grace Meng,Lois Frankel,Brendan F. Boyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA18,Ted Poe,Joe Wilson,Darrell E. Issa,Paul Cook,Scott Perry,Reid J. Ribble,Lee M. Zeldin,William R. Keating,Brad Sherman,Brian Higgins,Joaquin Castro,Robin L. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA07,Jeff Duncan,Christopher H. Smith,Ileana Ros-Lehtinen,Michael T. McCaul,Matt Salmon,Ron DeSantis,Ted S. Yoho,"Daniel M. Donovan,  Jr.",Albio Sires,Joaquin Castro,Robin L. Kelly,Gregory W. Meeks,Alan Grayson,Alan S. Lowenthal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
