,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
AP02,Kay Granger,Harold Rogers,Ken Calvert,Tom Cole,Steve Womack,Robert B. Aderholt,John R. Carter,Mario Diaz-Balart,Tom Graves,Martha Roby,Peter J. Visclosky,Betty McCollum,Tim Ryan,C. A. Dutch Ruppersberger,Marcy Kaptur,Henry Cuellar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP10,Michael K. Simpson,Ken Calvert,"Charles J. ""Chuck"" Fleischmann",Jeff Fortenberry,Kay Granger,Jaime Herrera Beutler,David P. Joyce,Dan Newhouse,Marcy Kaptur,Peter J. Visclosky,Debbie Wasserman Schultz,Pete Aguilar,Jose E. Serrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP23,Tom Graves,Kevin Yoder,Jaime Herrera Beutler,Mark E. Amodei,Chris Stewart,David Young,John R. Moolenaar,Mike Quigley,Jose E. Serrano,Matt Cartwright,"Sanford D. Bishop,  Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP15,Kevin Yoder,John Abney Culberson,"Charles J. ""Chuck"" Fleischmann",Andy Harris,Steven M. Palazzo,Dan Newhouse,Scott Taylor,Lucille Roybal-Allard,Henry Cuellar,David E. Price,C. A. Dutch Ruppersberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP06,Ken Calvert,Michael K. Simpson,Tom Cole,David P. Joyce,Chris Stewart,Mark E. Amodei,Betty McCollum,Chellie Pingree,Derek Kilmer,Marcy Kaptur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP07,Tom Cole,Michael K. Simpson,Steve Womack,"Charles J. ""Chuck"" Fleischmann",Andy Harris,Martha Roby,Jaime Herrera Beutler,John R. Moolenaar,Rosa L. DeLauro,Lucille Roybal-Allard,Barbara Lee,Mark Pocan,Katherine M. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP24,Jeff Fortenberry,Mark E. Amodei,Dan Newhouse,John R. Moolenaar,Scott Taylor,Tim Ryan,Betty McCollum,Debbie Wasserman Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP18,John R. Carter,Thomas J. Rooney,David G. Valadao,Steve Womack,Scott Taylor,John H. Rutherford,Debbie Wasserman Schultz,"Sanford D. Bishop,  Jr.",Barbara Lee,Tim Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP04,Harold Rogers,Kay Granger,Mario Diaz-Balart,Thomas J. Rooney,Jeff Fortenberry,Chris Stewart,John H. Rutherford,Nita M. Lowey,Barbara Lee,C. A. Dutch Ruppersberger,Grace Meng,David E. Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP20,Mario Diaz-Balart,David P. Joyce,John Abney Culberson,David Young,David G. Valadao,Tom Graves,John H. Rutherford,David E. Price,Mike Quigley,Katherine M. Clark,Pete Aguilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS00,Mac Thornberry,Walter B. Jones,Joe Wilson,Frank A. LoBiondo,Rob Bishop,Michael R. Turner,Mike Rogers,Bill Shuster,K. Michael Conaway,Doug Lamborn,Robert J. Wittman,Mike Coffman,Vicky Hartzler,Austin Scott,Mo Brooks,Paul Cook,Bradley Byrne,Sam Graves,Elise M. Stefanik,Martha McSally,Stephen Knight,Steve Russell,Scott DesJarlais,Ralph Lee Abraham,Trent Kelly,Mike Gallagher,Matt Gaetz,Don Bacon,Jim Banks,Liz Cheney,Jody B. Hice,Paul Mitchell,Adam Smith,Robert A. Brady,Susan A. Davis,James R. Langevin,Rick Larsen,Jim Cooper,Madeleine Z. Bordallo,Joe Courtney,Niki Tsongas,John Garamendi,Jackie Speier,Marc A. Veasey,Tulsi Gabbard,Beto O'Rourke,Donald Norcross,Ruben Gallego,Seth Moulton,Colleen Hanabusa,Carol Shea-Porter,Jacky Rosen,A. Donald McEachin,Salud O. Carbajal,Anthony G. Brown,Stephanie N. Murphy,Ro Khanna,Tom O'Halleran,Thomas R. Suozzi,Jimmy Panetta
AS26,Elise M. Stefanik,Bill Shuster,Ralph Lee Abraham,Liz Cheney,Joe Wilson,Frank A. LoBiondo,Doug Lamborn,Austin Scott,Jody B. Hice,James R. Langevin,Rick Larsen,Jim Cooper,Jackie Speier,Marc A. Veasey,Tulsi Gabbard,Beto O'Rourke,Stephanie N. Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS02,Mike Coffman,Walter B. Jones,Steve Russell,Don Bacon,Martha McSally,Ralph Lee Abraham,Trent Kelly,Jackie Speier,Robert A. Brady,Niki Tsongas,Ruben Gallego,Carol Shea-Porter,Jacky Rosen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS06,Vicky Hartzler,K. Michael Conaway,Matt Gaetz,Jim Banks,Liz Cheney,Austin Scott,Seth Moulton,Tom O'Halleran,Thomas R. Suozzi,Jimmy Panetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS03,Joe Wilson,Rob Bishop,Austin Scott,Steve Russell,Mike Rogers,Vicky Hartzler,Elise M. Stefanik,Martha McSally,Scott DesJarlais,Trent Kelly,Mike Gallagher,Madeleine Z. Bordallo,Joe Courtney,Tulsi Gabbard,Carol Shea-Porter,A. Donald McEachin,Salud O. Carbajal,Anthony G. Brown,Stephanie N. Murphy,Ro Khanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS28,Robert J. Wittman,K. Michael Conaway,Vicky Hartzler,Bradley Byrne,Scott DesJarlais,Mike Gallagher,Paul Cook,Stephen Knight,Ralph Lee Abraham,Paul Mitchell,Joe Courtney,Susan A. Davis,James R. Langevin,Madeleine Z. Bordallo,John Garamendi,Donald Norcross,Seth Moulton,Colleen Hanabusa,A. Donald McEachin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS29,Mike Rogers,Doug Lamborn,Mo Brooks,Michael R. Turner,Mike Coffman,Bradley Byrne,Sam Graves,Jody B. Hice,Paul Mitchell,Jim Cooper,Susan A. Davis,Rick Larsen,John Garamendi,Beto O'Rourke,Donald Norcross,Colleen Hanabusa,Ro Khanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS25,Michael R. Turner,Frank A. LoBiondo,Paul Cook,Sam Graves,Martha McSally,Stephen Knight,Trent Kelly,Matt Gaetz,Don Bacon,Jim Banks,Walter B. Jones,Rob Bishop,Robert J. Wittman,Mo Brooks,Niki Tsongas,James R. Langevin,Jim Cooper,Marc A. Veasey,Ruben Gallego,Jacky Rosen,Salud O. Carbajal,Anthony G. Brown,Tom O'Halleran,Thomas R. Suozzi,Jimmy Panetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU00,Steve Womack,Diane Black,Mario Diaz-Balart,Tom Cole,Tom McClintock,Todd Rokita,Rob Woodall,Mark Sanford,Dave Brat,Glenn Grothman,Gary J. Palmer,Bruce Westerman,James B. Renacci,Bill Johnson,Jason Smith,Jason Lewis,Jack Bergman,John J. Faso,Lloyd Smucker,Matt Gaetz,Jodey C. Arrington,"A. Drew Ferguson,  IV",John A. Yarmuth,Barbara Lee,Michelle Lujan Grisham,Seth Moulton,Hakeem S. Jeffries,Brian Higgins,Suzan K. DelBene,Debbie Wasserman Schultz,Brendan F. Boyle,Ro Khanna,Pramila Jayapal,Salud O. Carbajal,Sheila Jackson Lee,Janice D. Schakowsky,,,,,,,,,,,,,,,,,,,,,,,,
ED00,Virginia Foxx,Joe Wilson,David P. Roe,Glenn Thompson,Tim Walberg,Brett Guthrie,Todd Rokita,Lou Barletta,Luke Messer,Bradley Byrne,Dave Brat,Glenn Grothman,Elise M. Stefanik,Rick W. Allen,Jason Lewis,Francis Rooney,"Thomas A. Garrett,  Jr.",Lloyd Smucker,"A. Drew Ferguson,  IV",Ron Estes,Karen C. Handel,Jim Banks,"Robert C. ""Bobby"" Scott",Susan A. Davis,Rael M. Grijalva,Joe Courtney,Marcia L. Fudge,Jared Polis,Gregorio Kilili Camacho Sablan,Frederica S. Wilson,Suzanne Bonamici,Mark Takano,Alma S. Adams,Mark DeSaulnier,Donald Norcross,Lisa Blunt Rochester,Raja Krishnamoorthi,Carol Shea-Porter,Adriano Espaillat,,,,,,,,,,,,,,,,,,,,,
ED14,Todd Rokita,David P. Roe,Glenn Thompson,Luke Messer,Dave Brat,"Thomas A. Garrett,  Jr.",Karen C. Handel,Jared Polis,Rael M. Grijalva,Marcia L. Fudge,Suzanne Bonamici,Susan A. Davis,Frederica S. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED10,Bradley Byrne,Joe Wilson,Dave Brat,Glenn Grothman,Elise M. Stefanik,Francis Rooney,"A. Drew Ferguson,  IV",Karen C. Handel,Mark Takano,Rael M. Grijalva,Alma S. Adams,Mark DeSaulnier,Donald Norcross,Raja Krishnamoorthi,Carol Shea-Porter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED13,Brett Guthrie,Glenn Thompson,Lou Barletta,Luke Messer,Bradley Byrne,Glenn Grothman,Elise M. Stefanik,Rick W. Allen,Jason Lewis,"Thomas A. Garrett,  Jr.",Lloyd Smucker,Ron Estes,Jim Banks,Susan A. Davis,Joe Courtney,Alma S. Adams,Mark DeSaulnier,Raja Krishnamoorthi,Jared Polis,Gregorio Kilili Camacho Sablan,Mark Takano,Lisa Blunt Rochester,Adriano Espaillat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED02,Tim Walberg,Joe Wilson,David P. Roe,Todd Rokita,Lou Barletta,Rick W. Allen,Jason Lewis,Francis Rooney,Lloyd Smucker,"A. Drew Ferguson,  IV",Ron Estes,Jim Banks,Gregorio Kilili Camacho Sablan,Frederica S. Wilson,Donald Norcross,Lisa Blunt Rochester,Carol Shea-Porter,Adriano Espaillat,Joe Courtney,Marcia L. Fudge,Suzanne Bonamici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF00,Greg Walden,Joe Barton,Fred Upton,John Shimkus,Michael C. Burgess,Marsha Blackburn,Steve Scalise,Robert E. Latta,Cathy McMorris Rodgers,Gregg Harper,Leonard Lance,Brett Guthrie,Pete Olson,David B. McKinley,Adam Kinzinger,H. Morgan Griffith,Gus M. Bilirakis,Bill Johnson,Billy Long,Larry Bucshon,Bill Flores,Susan W. Brooks,Markwayne Mullin,Richard Hudson,Kevin Cramer,Tim Walberg,Mimi Walters,Ryan A. Costello,"Earl L. ""Buddy"" Carter",Jeff Duncan,"Frank Pallone,  Jr.",Bobby L. Rush,Anna G. Eshoo,Eliot L. Engel,Gene Green,Diana DeGette,Michael F. Doyle,Janice D. Schakowsky,G. K. Butterfield,Doris O. Matsui,Kathy Castor,John P. Sarbanes,Jerry McNerney,Peter Welch,Ben Ray Lujen,Paul Tonko,Yvette D. Clarke,David Loebsack,Kurt Schrader,"Joseph P. Kennedy,  III",Tony Cerdenas,Raul Ruiz,Scott H. Peters,Debbie Dingell,,,,,,
IF16,Marsha Blackburn,Leonard Lance,John Shimkus,Steve Scalise,Robert E. Latta,Brett Guthrie,Pete Olson,Adam Kinzinger,Gus M. Bilirakis,Bill Johnson,Billy Long,Bill Flores,Susan W. Brooks,Kevin Cramer,Mimi Walters,Ryan A. Costello,Greg Walden,Michael F. Doyle,Peter Welch,Yvette D. Clarke,David Loebsack,Raul Ruiz,Debbie Dingell,Bobby L. Rush,Anna G. Eshoo,Eliot L. Engel,G. K. Butterfield,Doris O. Matsui,Jerry McNerney,Frank Pallone Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF17,Robert E. Latta,Adam Kinzinger,Fred Upton,Michael C. Burgess,Leonard Lance,Brett Guthrie,David B. McKinley,Gus M. Bilirakis,Larry Bucshon,Markwayne Mullin,Mimi Walters,Ryan A. Costello,Jeff Duncan,Greg Walden,Janice D. Schakowsky,Ben Ray Lujen,Yvette D. Clarke,Tony Cerdenas,Debbie Dingell,Doris O. Matsui,Peter Welch,"Joseph P. Kennedy,  III",Gene Green,Frank Pallone Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF03,Fred Upton,Pete Olson,Joe Barton,John Shimkus,Robert E. Latta,Gregg Harper,David B. McKinley,Adam Kinzinger,H. Morgan Griffith,Bill Johnson,Billy Long,Larry Bucshon,Bill Flores,Markwayne Mullin,Richard Hudson,Kevin Cramer,Tim Walberg,Jeff Duncan,Greg Walden,Bobby L. Rush,Jerry McNerney,Scott H. Peters,Gene Green,Michael F. Doyle,Kathy Castor,John P. Sarbanes,Peter Welch,Paul Tonko,David Loebsack,Kurt Schrader,"Joseph P. Kennedy,  III",G. K. Butterfield,Frank Pallone Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF18,John Shimkus,David B. McKinley,Joe Barton,Marsha Blackburn,Gregg Harper,Pete Olson,Bill Johnson,Bill Flores,Richard Hudson,Kevin Cramer,Tim Walberg,"Earl L. ""Buddy"" Carter",Jeff Duncan,Greg Walden,Paul Tonko,Raul Ruiz,Scott H. Peters,Gene Green,Diana DeGette,Jerry McNerney,Tony Cerdenas,Debbie Dingell,Doris O. Matsui,Frank Pallone Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF14,Michael C. Burgess,Brett Guthrie,Joe Barton,Fred Upton,John Shimkus,Marsha Blackburn,Robert E. Latta,Cathy McMorris Rodgers,Leonard Lance,H. Morgan Griffith,Gus M. Bilirakis,Billy Long,Larry Bucshon,Susan W. Brooks,Markwayne Mullin,Richard Hudson,"Earl L. ""Buddy"" Carter",Greg Walden,Gene Green,Eliot L. Engel,Janice D. Schakowsky,G. K. Butterfield,Doris O. Matsui,Kathy Castor,John P. Sarbanes,Ben Ray Lujen,Kurt Schrader,"Joseph P. Kennedy,  III",Tony Cerdenas,Anna G. Eshoo,Diana DeGette,Frank Pallone Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF02,Gregg Harper,H. Morgan Griffith,Joe Barton,Michael C. Burgess,Susan W. Brooks,Tim Walberg,Mimi Walters,Ryan A. Costello,"Earl L. ""Buddy"" Carter",Greg Walden,Diana DeGette,Janice D. Schakowsky,Kathy Castor,Paul Tonko,Yvette D. Clarke,Raul Ruiz,Scott H. Peters,Frank Pallone Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO00,Susan W. Brooks,Kenny Marchant,Leonard Lance,Mimi Walters,John Ratcliffe,Theodore E. Deutch,Yvette D. Clarke,Jared Polis,Anthony G. Brown,Steve Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00,Jeb Hensarling,Peter T. King,Edward R. Royce,Frank D. Lucas,Patrick T. McHenry,Stevan Pearce,Bill Posey,Blaine Luetkemeyer,Bill Huizenga,Sean P. Duffy,Steve Stivers,Randy Hultgren,Dennis A. Ross,Robert Pittenger,Ann Wagner,Andy Barr,Keith J. Rothfus,Luke Messer,Scott R. Tipton,Roger Williams,Bruce Poliquin,Mia B. Love,J. French Hill,Tom Emmer,Lee M. Zeldin,David A. Trott,Barry Loudermilk,Alexander X. Mooney,Thomas MacArthur,Warren Davidson,Ted Budd,David Kustoff,Claudia Tenney,Trey Hollingsworth,Maxine Waters,Carolyn B. Maloney,Nydia M. Velezquez,Brad Sherman,Gregory W. Meeks,Michael E. Capuano,Wm. Lacy Clay,Stephen F. Lynch,David Scott,Al Green,Emanuel Cleaver,Gwen Moore,Keith Ellison,Ed Perlmutter,James A. Himes,Bill Foster,Daniel T. Kildee,John K. Delaney,Kyrsten Sinema,Joyce Beatty,Denny Heck,Juan Vargas,Josh Gottheimer,Vicente Gonzalez,Charlie Crist,Ruben J. Kihuen
BA16,Bill Huizenga,Randy Hultgren,Peter T. King,Patrick T. McHenry,Sean P. Duffy,Steve Stivers,Ann Wagner,Luke Messer,Bruce Poliquin,J. French Hill,Tom Emmer,Alexander X. Mooney,Thomas MacArthur,Warren Davidson,Ted Budd,Trey Hollingsworth,Jeb Hensarling,Carolyn B. Maloney,Brad Sherman,Stephen F. Lynch,David Scott,James A. Himes,Keith Ellison,Bill Foster,Gregory W. Meeks,Kyrsten Sinema,Juan Vargas,Josh Gottheimer,Vicente Gonzalez,Maxine Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA15,Blaine Luetkemeyer,Keith J. Rothfus,Edward R. Royce,Frank D. Lucas,Bill Posey,Dennis A. Ross,Robert Pittenger,Andy Barr,Scott R. Tipton,Roger Williams,Mia B. Love,David A. Trott,Barry Loudermilk,David Kustoff,Claudia Tenney,Jeb Hensarling,Wm. Lacy Clay,Carolyn B. Maloney,Gregory W. Meeks,David Scott,Nydia M. Velezquez,Al Green,Keith Ellison,Michael E. Capuano,Denny Heck,Gwen Moore,Charlie Crist,Maxine Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA04,Sean P. Duffy,Dennis A. Ross,Edward R. Royce,Stevan Pearce,Bill Posey,Blaine Luetkemeyer,Steve Stivers,Randy Hultgren,Keith J. Rothfus,Lee M. Zeldin,David A. Trott,Thomas MacArthur,Ted Budd,Jeb Hensarling,Emanuel Cleaver,Nydia M. Velezquez,Michael E. Capuano,Wm. Lacy Clay,Brad Sherman,Joyce Beatty,Daniel T. Kildee,John K. Delaney,Ruben J. Kihuen,Vicente Gonzalez,Maxine Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA20,Andy Barr,Roger Williams,Frank D. Lucas,Bill Huizenga,Robert Pittenger,Mia B. Love,J. French Hill,Tom Emmer,Alexander X. Mooney,Warren Davidson,Claudia Tenney,Trey Hollingsworth,Jeb Hensarling,Gwen Moore,Gregory W. Meeks,Bill Foster,Brad Sherman,Al Green,Denny Heck,Daniel T. Kildee,Juan Vargas,Charlie Crist,Maxine Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA09,Ann Wagner,Scott R. Tipton,Peter T. King,Patrick T. McHenry,Dennis A. Ross,Luke Messer,Lee M. Zeldin,David A. Trott,Barry Loudermilk,David Kustoff,Claudia Tenney,Trey Hollingsworth,Jeb Hensarling,Al Green,Keith Ellison,Emanuel Cleaver,Joyce Beatty,Michael E. Capuano,Gwen Moore,Josh Gottheimer,Vicente Gonzalez,Charlie Crist,Maxine Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA01,Stevan Pearce,Robert Pittenger,Keith J. Rothfus,Luke Messer,Scott R. Tipton,Roger Williams,Bruce Poliquin,Mia B. Love,J. French Hill,Tom Emmer,Lee M. Zeldin,Warren Davidson,Ted Budd,David Kustoff,Jeb Hensarling,Ed Perlmutter,Carolyn B. Maloney,James A. Himes,Bill Foster,Daniel T. Kildee,John K. Delaney,Kyrsten Sinema,Juan Vargas,Josh Gottheimer,Ruben J. Kihuen,Stephen F. Lynch,Maxine Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA00,Edward R. Royce,Christopher H. Smith,Ileana Ros-Lehtinen,Dana Rohrabacher,Steve Chabot,Joe Wilson,Michael T. McCaul,Ted Poe,Darrell E. Issa,Tom Marino,Mo Brooks,Paul Cook,Scott Perry,Mark Meadows,Ted S. Yoho,Adam Kinzinger,Lee M. Zeldin,"Daniel M. Donovan,  Jr.","F. James Sensenbrenner,  Jr.",Ann Wagner,Brian J. Mast,Francis Rooney,Brian K. Fitzpatrick,"Thomas A. Garrett,  Jr.",John R. Curtis,Eliot L. Engel,Brad Sherman,Gregory W. Meeks,Albio Sires,Gerald E. Connolly,Theodore E. Deutch,Karen Bass,William R. Keating,David N. Cicilline,Ami Bera,Lois Frankel,Tulsi Gabbard,Joaquin Castro,Robin L. Kelly,Brendan F. Boyle,Dina Titus,Norma J. Torres,Bradley Scott Schneider,Thomas R. Suozzi,Adriano Espaillat,Ted Lieu,,,,,,,,,,,,,,
FA16,Christopher H. Smith,Mark Meadows,"Daniel M. Donovan,  Jr.","F. James Sensenbrenner,  Jr.","Thomas A. Garrett,  Jr.",Karen Bass,Ami Bera,Joaquin Castro,Thomas R. Suozzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA05,Ted S. Yoho,Dana Rohrabacher,Steve Chabot,Tom Marino,Mo Brooks,Scott Perry,Adam Kinzinger,Ann Wagner,Brad Sherman,Ami Bera,Dina Titus,Gerald E. Connolly,Theodore E. Deutch,Tulsi Gabbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA14,Dana Rohrabacher,Joe Wilson,Ted Poe,Tom Marino,"F. James Sensenbrenner,  Jr.",Francis Rooney,Brian K. Fitzpatrick,John R. Curtis,Gregory W. Meeks,Brad Sherman,Albio Sires,William R. Keating,David N. Cicilline,Robin L. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA13,Ileana Ros-Lehtinen,Steve Chabot,Darrell E. Issa,Mark Meadows,Adam Kinzinger,Lee M. Zeldin,"Daniel M. Donovan,  Jr.",Ann Wagner,Brian J. Mast,Brian K. Fitzpatrick,John R. Curtis,Theodore E. Deutch,Gerald E. Connolly,David N. Cicilline,Lois Frankel,Brendan F. Boyle,Tulsi Gabbard,Bradley Scott Schneider,Thomas R. Suozzi,Ted Lieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA18,Ted Poe,Joe Wilson,Darrell E. Issa,Paul Cook,Scott Perry,Lee M. Zeldin,Brian J. Mast,"Thomas A. Garrett,  Jr.",William R. Keating,Lois Frankel,Brendan F. Boyle,Dina Titus,Norma J. Torres,Bradley Scott Schneider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
