,No. Committees,No. Conflicts
 Daniel  Meuser,7,40
 David N. Cicilline,7,30
 Grace F. Napolitano,7,25
 Glenn  Thompson,7,12
 Ed  Perlmutter,7,26
 Anthony  Gonzalez,7,28
 Pramila  Jayapal,7,49
 Dean  Phillips,7,29
 Alma S. Adams,7,26
 Terri A. Sewell,7,8
 Judy  Chu,7,18
 Theodore E. Deutch,7,27
 Brian J. Mast,7,18
 Brian  Babin,7,17
 Mike  Levin,7,42
 Mark  Walker,7,22
 Ro  Khanna,7,55
 Wm. Lacy Clay,7,62
 Denny  Heck,7,14
 Susan  Wild,7,27
 Gilbert Ray Cisneros,7,17
 Garret  Graves,7,33
 Kelly  Armstrong,7,44
 Brian K. Fitzpatrick,7,15
 Lloyd  Smucker,7,17
 Daniel  Lipinski,7,24
 Yvette D. Clarke,7,43
 Joseph D. Morelle,7,12
 Lauren  Underwood,7,26
 David  Rouzer,7,8
 Jack  Bergman,7,21
 Thomas  Massie,7,22
 Al  Green,7,28
 Jimmy  Panetta,7,28
 Filemon  Vela,7,7
" Henry C. ""Hank"" Johnson",7,19
 Jason  Crow,7,25
 Frank  Pallone,7,46
 Tim  Burchett,7,60
 Debbie  Wasserman Schultz,7,33
 Diana  DeGette,7,60
 John  Katko,7,25
 James R. Langevin,7,15
 Chris  Stewart,7,45
 Chip  Roy,7,48
 Tom  Malinowski,7,13
 Brenda L. Lawrence,7,56
 Lizzie  Fletcher,7,15
 Doug  LaMalfa,7,6
 Andy  Kim,7,27
 Julia  Brownley,7,16
 Albio  Sires,7,23
 Ben  Cline,7,29
 Kevin  Hern,7,70
 Don  Young,7,20
 Ross  Spano,7,27
 Suzanne  Bonamici,7,28
 Michael C. Burgess,7,16
 Paul  Mitchell,7,9
 Glenn  Grothman,7,25
 Alexandria  Ocasio-Cortez,6,31
 Greg  Pence,6,20
 Fred  Keller,6,23
 James A. Himes,6,11
 Abby  Finkenauer,6,21
 Mike  Johnson,6,34
 Andy  Levin,6,30
 James R. Baird,6,7
 Don  Bacon,6,6
 Abigail Davis Spanberger,6,12
 Tom  McClintock,6,43
 Jimmy  Gomez,6,26
 Donna E. Shalala,6,1
 John P. Sarbanes,6,54
 Ted  Lieu,6,27
 David J. Trone,6,30
 Ann  Kirkpatrick,6,33
 John  Joyce,6,29
 Lucy  McBath,6,27
 Raja  Krishnamoorthi,6,12
 Cheri  Bustos,6,39
 TJ  Cox,6,8
 Ben  McAdams,6,29
 Adam  Kinzinger,6,21
 Trent  Kelly,6,8
 Brett  Guthrie,6,45
 Andy  Biggs,6,26
 Harley  Rouda,6,17
 Kathleen M. Rice,6,23
 Ralph Lee Abraham,6,7
 Darren  Soto,6,38
 Ted S. Yoho,6,8
 Haley M. Stevens,6,20
 Will  Hurd,6,12
 Randy K. Weber,6,13
 Paul A. Gosar,6,35
 Veronica  Escobar,6,19
 Donald S. Beyer,6,22
 John R. Curtis,6,28
 Andre  Carson,6,5
 Ruben  Gallego,6,22
 Josh  Harder,6,10
 Donald  Norcross,6,18
 Martha  Roby,6,35
 Ayanna  Pressley,6,31
 Susie  Lee,6,15
 F. James Sensenbrenner,6,28
 Bruce  Westerman,6,19
 Eric  Swalwell,6,14
 Michael  Waltz,6,15
 Jim  Costa,6,29
 Jefferson  Van Drew,6,17
 Madeleine  Dean,6,40
 Scott  Perry,6,12
 Joe  Wilson,6,22
 Jahana  Hayes,6,7
 Debbie  Mucarsel-Powell,6,15
 Doris O. Matsui,6,32
 Max  Rose,6,20
 Jennifer  Wexton,6,27
 Gerald E. Connolly,6,37
 Vicky  Hartzler,6,9
 Rick  Larsen,6,19
 Ron  Wright,6,27
 Mikie  Sherrill,6,16
 Russ  Fulcher,6,33
 Gregory W. Meeks,6,33
 Tulsi  Gabbard,6,24
 Michael F. Q. San Nicolas,6,25
 Jared F. Golden,6,20
 Kendra S. Horn,6,17
 Elissa  Slotkin,6,13
 Kim  Schrier,6,8
 Joe  Courtney,6,18
 Joe  Cunningham,6,30
 Jenniffer  Gonzelez-Colen,6,16
 G. K. Butterfield,6,25
 Louie  Gohmert,6,31
 J. Luis Correa,6,24
 Steve  Chabot,6,78
 Gus M. Bilirakis,6,30
 William R. Keating,6,26
 Mike  Garcia,6,39
 Ralph  Norman,6,54
 Matt  Gaetz,6,21
 Lee M. Zeldin,6,25
 Pete  Aguilar,6,17
 Scott  DesJarlais,6,10
 Cynthia  Axne,6,8
 Dusty  Johnson,6,4
 Emanuel  Cleaver,6,31
 David  Scott,6,7
 Doug  Lamborn,6,30
 Sylvia R. Garcia,6,41
 Roger W. Marshall,6,8
 Paul  Cook,6,19
 Brad R. Wenstrup,6,8
 Debra A. Haaland,6,26
 Rick W. Allen,6,4
 Tom  O'Halleran,6,11
 Jody B. Hice,6,45
 Ken  Buck,6,26
 James P. McGovern,6,2
 Ann  Wagner,6,32
 Michael R. Turner,6,11
 Michael  Cloud,6,30
 Jim  Hagedorn,6,12
 Bob  Gibbs,6,16
 Lori  Trahan,6,20
 Andy  Barr,6,33
 Elaine G. Luria,6,15
 Austin  Scott,6,6
 Gregory F. Murphy,5,16
 Derek  Kilmer,5,31
 Clay  Higgins,5,23
 Kathy  Castor,5,14
 Liz  Cheney,5,17
 Susan W. Brooks,5,17
 Lisa  Blunt Rochester,5,18
 Grace  Meng,5,7
 Katie  Porter,5,28
 Neal P. Dunn,5,7
 Suzan K. DelBene,5,4
 Karen  Bass,5,21
 Bradley Scott Schneider,5,20
 David E. Price,5,22
 Dwight  Evans,5,15
 Ben Ray Lujen,5,16
 Steven  Horsford,5,41
 Mark  Pocan,5,21
 Bradley  Byrne,5,13
 Dan  Newhouse,5,12
 Bill  Posey,5,22
 Tim  Walberg,5,13
" Earl L. ""Buddy"" Carter",5,17
 Bill  Johnson,5,24
 Robert J. Wittman,5,17
 George  Holding,5,14
 Scott H. Peters,5,23
 Brian  Higgins,5,15
 Thomas P. Tiffany,5,25
 Greg  Stanton,5,11
 Ami  Bera,5,22
 H. Morgan Griffith,5,17
 Mo  Brooks,5,12
 Barbara  Lee,5,43
 Carolyn B. Maloney,5,23
 Bill  Flores,5,24
 Dan  Bishop,5,28
 Janice D. Schakowsky,5,27
 Brendan F. Boyle,5,12
 Francis  Rooney,5,23
 Joseph P. Kennedy,4,14
 Hakeem S. Jeffries,4,17
 Markwayne  Mullin,4,9
 Chris  Jacobs,4,4
 Mark  Takano,4,8
 William R. Timmons,4,3
 Cathy McMorris Rodgers,4,8
 Seth  Moulton,4,10
 Tom  Cole,4,16
 Devin  Nunes,4,7
 Steve  Womack,4,18
 Dan  Crenshaw,4,13
 Marc A. Veasey,4,1
 John  Shimkus,4,14
 Katherine M. Clark,4,13
 David B. McKinley,4,8
 James  Comer,4,21
 Marcy  Kaptur,4,25
 Richard  Hudson,4,9
 Kurt  Schrader,4,12
 Daniel T. Kildee,4,15
 Fred  Upton,4,9
 Sanford D. Bishop,4,19
 Betty  McCollum,4,23
 Robert B. Aderholt,4,22
 Bobby L. Rush,4,9
 Henry  Cuellar,4,18
 John H. Rutherford,4,9
 Jose E. Serrano,4,28
 Lois  Frankel,4,13
 Tim  Ryan,4,21
 Larry  Bucshon,4,9
 Barry  Loudermilk,4,10
 Billy  Long,4,14
 Jeff  Duncan,4,8
 C. A. Dutch Ruppersberger,4,11
 Lloyd  Doggett,4,10
 Robert E. Latta,4,1
 Greg  Gianforte,4,10
 Tony  Cerdenas,4,10
 Rosa L. DeLauro,4,30
 Ann M. Kuster,4,14
 Raul  Ruiz,4,9
 John R. Carter,3,6
 John R. Moolenaar,3,10
 Anna G. Eshoo,3,7
 Peter J. Visclosky,3,11
 David P. Joyce,3,10
 Christopher H. Smith,3,2
" Robert C. ""Bobby"" Scott",3,8
 Andy  Harris,3,10
 Eliot L. Engel,3,13
 David P. Roe,3,4
 Collin C. Peterson,3,2
 Jason  Smith,3,14
 Jaime  Herrera Beutler,3,3
 Jim  Jordan,3,19
 Michael K. Simpson,3,6
 Steven M. Palazzo,3,2
" Charles J. ""Chuck"" Fleischmann",3,1
 Mario  Diaz-Balart,3,4
 Mark E. Amodei,3,10
 David  Schweikert,3,1
 Harold  Rogers,3,4
 Lucille  Roybal-Allard,3,7
 Tom  Rice,3,1
 Jeff  Fortenberry,3,3
 Ken  Calvert,3,11
 Mike  Kelly,3,1
 Virginia  Foxx,3,14
 Michael T. McCaul,2,14
 Kweisi  Mfume,2,20
