,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
ED13, Susan A. Davis, Joe  Courtney, Mark  Takano, Pramila  Jayapal, Josh  Harder, Andy  Levin, Ilhan  Omar, David J. Trone, Susie  Lee, Lori  Trahan, Joaquin  Castro, Rael M. Grijalva, Gregorio Kilili Camacho Sablan, Suzanne  Bonamici, Alma S. Adams, Donald  Norcross, Lloyd  Smucker, Brett  Guthrie, Glenn  Grothman, Elise M. Stefanik, Jim  Banks, Mark  Walker, James  Comer, Ben  Cline, Russ  Fulcher, Daniel  Meuser, Gregory F. Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED10, Alma S. Adams, Mark  DeSaulnier, Mark  Takano, Pramila  Jayapal, Susan  Wild, Lucy  McBath, Ilhan  Omar, Haley M. Stevens, Bradley  Byrne, Lloyd  Smucker, Mark  Walker, Ron  Wright, Gregory F. Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF00, Frank  Pallone, Bobby L. Rush, Anna G. Eshoo, Eliot L. Engel, Diana  DeGette, Michael F. Doyle, Janice D. Schakowsky, G. K. Butterfield, Doris O. Matsui, Kathy  Castor, John P. Sarbanes, Jerry  McNerney, Peter  Welch, Ben Ray Lujen, Paul  Tonko, Yvette D. Clarke, David  Loebsack, Kurt  Schrader, Joseph P. Kennedy, Tony  Cerdenas, Raul  Ruiz, Scott H. Peters, Debbie  Dingell, Marc A. Veasey, Ann M. Kuster, Robin L. Kelly, Nanette Diaz Barragen, A. Donald McEachin, Lisa  Blunt Rochester, Darren  Soto, Tom  O'Halleran, Greg  Walden, Fred  Upton, John  Shimkus, Michael C. Burgess, Steve  Scalise, Robert E. Latta, Cathy McMorris Rodgers, Brett  Guthrie, Pete  Olson, David B. McKinley, Adam  Kinzinger, H. Morgan Griffith, Gus M. Bilirakis, Bill  Johnson, Billy  Long, Larry  Bucshon, Bill  Flores, Susan W. Brooks, Markwayne  Mullin, Richard  Hudson, Tim  Walberg," Earl L. ""Buddy"" Carter", Jeff  Duncan, Greg  Gianforte,,,,,,,,,,,,
IF16, Michael F. Doyle, Jerry  McNerney, Yvette D. Clarke, David  Loebsack, Marc A. Veasey, A. Donald McEachin, Darren  Soto, Tom  O'Halleran, Anna G. Eshoo, Diana  DeGette, G. K. Butterfield, Doris O. Matsui, Peter  Welch, Ben Ray Lujen, Kurt  Schrader, Tony  Cerdenas, Debbie  Dingell, Frank  Pallone, Robert E. Latta, John  Shimkus, Steve  Scalise, Pete  Olson, Adam  Kinzinger, Gus M. Bilirakis, Bill  Johnson, Billy  Long, Bill  Flores, Susan W. Brooks, Tim  Walberg, Greg  Gianforte, Greg  Walden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF17, Janice D. Schakowsky, Kathy  Castor, Marc A. Veasey, Robin L. Kelly, Tom  O'Halleran, Ben Ray Lujen, Tony  Cerdenas, Lisa  Blunt Rochester, Darren  Soto, Bobby L. Rush, Doris O. Matsui, Jerry  McNerney, Debbie  Dingell, Frank  Pallone, Cathy McMorris Rodgers, Fred  Upton, Michael C. Burgess, Robert E. Latta, Brett  Guthrie, Larry  Bucshon, Richard  Hudson," Earl L. ""Buddy"" Carter", Greg  Gianforte, Greg  Walden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF03, Bobby L. Rush, Scott H. Peters, Michael F. Doyle, John P. Sarbanes, Jerry  McNerney, Paul  Tonko, David  Loebsack, G. K. Butterfield, Peter  Welch, Kurt  Schrader, Joseph P. Kennedy, Marc A. Veasey, Ann M. Kuster, Robin L. Kelly, Nanette Diaz Barragen, A. Donald McEachin, Tom  O'Halleran, Lisa  Blunt Rochester, Frank  Pallone, Fred  Upton, Robert E. Latta, Cathy McMorris Rodgers, Pete  Olson, David B. McKinley, Adam  Kinzinger, H. Morgan Griffith, Bill  Johnson, Larry  Bucshon, Bill  Flores, Richard  Hudson, Tim  Walberg, Jeff  Duncan, Greg  Walden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF18, Paul  Tonko, Yvette D. Clarke, Scott H. Peters, Nanette Diaz Barragen, A. Donald McEachin, Lisa  Blunt Rochester, Darren  Soto, Diana  DeGette, Janice D. Schakowsky, Doris O. Matsui, Jerry  McNerney, Raul  Ruiz, Debbie  Dingell, Frank  Pallone, John  Shimkus, Cathy McMorris Rodgers, David B. McKinley, Bill  Johnson, Billy  Long, Bill  Flores, Markwayne  Mullin," Earl L. ""Buddy"" Carter", Jeff  Duncan, Greg  Walden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF14, Anna G. Eshoo, Eliot L. Engel, G. K. Butterfield, Doris O. Matsui, Kathy  Castor, John P. Sarbanes, Ben Ray Lujen, Kurt  Schrader, Joseph P. Kennedy, Tony  Cerdenas, Peter  Welch, Raul  Ruiz, Debbie  Dingell, Ann M. Kuster, Robin L. Kelly, Nanette Diaz Barragen, Lisa  Blunt Rochester, Bobby L. Rush, Frank  Pallone, Michael C. Burgess, Fred  Upton, John  Shimkus, Brett  Guthrie, H. Morgan Griffith, Gus M. Bilirakis, Billy  Long, Larry  Bucshon, Susan W. Brooks, Markwayne  Mullin, Richard  Hudson," Earl L. ""Buddy"" Carter", Greg  Gianforte, Greg  Walden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF02, Diana  DeGette, Janice D. Schakowsky, Joseph P. Kennedy, Raul  Ruiz, Ann M. Kuster, Kathy  Castor, John P. Sarbanes, Paul  Tonko, Yvette D. Clarke, Scott H. Peters, Frank  Pallone, Brett  Guthrie, Michael C. Burgess, David B. McKinley, H. Morgan Griffith, Susan W. Brooks, Markwayne  Mullin, Jeff  Duncan, Greg  Walden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO00, Theodore E. Deutch, Grace  Meng, Susan  Wild, Dean  Phillips, Anthony G. Brown, Kenny  Marchant, George  Holding, Jackie  Walorski, Michael  Guest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00, Maxine  Waters, Carolyn B. Maloney, Nydia M. Velezquez, Brad  Sherman, Gregory W. Meeks, Wm. Lacy Clay, David  Scott, Al  Green, Emanuel  Cleaver, Ed  Perlmutter, James A. Himes, Bill  Foster, Joyce  Beatty, Denny  Heck, Juan  Vargas, Josh  Gottheimer, Vicente  Gonzalez, Al  Lawson, Michael F. Q. San Nicolas, Rashida  Tlaib, Katie  Porter, Cynthia  Axne, Sean  Casten, Ayanna  Pressley, Ben  McAdams, Alexandria  Ocasio-Cortez, Jennifer  Wexton, Stephen F. Lynch, Tulsi  Gabbard, Alma S. Adams, Madeleine  Dean," Jeses G. ""Chuy"" Garcea", Sylvia R. Garcia, Dean  Phillips, Patrick T. McHenry, Frank D. Lucas, Bill  Posey, Blaine  Luetkemeyer, Bill  Huizenga, Steve  Stivers, Ann  Wagner, Andy  Barr, Scott R. Tipton, Roger  Williams, J. French Hill, Tom  Emmer, Lee M. Zeldin, Barry  Loudermilk, Alexander X. Mooney, Warren  Davidson, Ted  Budd, David  Kustoff, Trey  Hollingsworth, Anthony  Gonzalez, John W. Rose, Bryan  Steil, Lance  Gooden, Denver  Riggleman, William R. Timmons, Van  Taylor,,,,,,,
BA15, Gregory W. Meeks, David  Scott, Nydia M. Velezquez, Wm. Lacy Clay, Denny  Heck, Bill  Foster, Al  Lawson, Rashida  Tlaib, Katie  Porter, Ayanna  Pressley, Ben  McAdams, Alexandria  Ocasio-Cortez, Jennifer  Wexton, Blaine  Luetkemeyer, Frank D. Lucas, Bill  Posey, Andy  Barr, Scott R. Tipton, Roger  Williams, Barry  Loudermilk, Ted  Budd, David  Kustoff, Denver  Riggleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA13, Joyce  Beatty, Wm. Lacy Clay, Al  Green, Josh  Gottheimer, Vicente  Gonzalez, Al  Lawson, Ayanna  Pressley, Tulsi  Gabbard, Alma S. Adams, Madeleine  Dean, Sylvia R. Garcia, Dean  Phillips, Ann  Wagner, Frank D. Lucas, Alexander X. Mooney, Ted  Budd, David  Kustoff, Trey  Hollingsworth, Anthony  Gonzalez, Bryan  Steil, Lance  Gooden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA04, Wm. Lacy Clay, Nydia M. Velezquez, Emanuel  Cleaver, Brad  Sherman, Joyce  Beatty, Al  Green, Vicente  Gonzalez, Carolyn B. Maloney, Denny  Heck, Juan  Vargas, Al  Lawson, Rashida  Tlaib, Cynthia  Axne, Steve  Stivers, Bill  Posey, Blaine  Luetkemeyer, Bill  Huizenga, Scott R. Tipton, Lee M. Zeldin, David  Kustoff, John W. Rose, Bryan  Steil, Lance  Gooden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA16, Brad  Sherman, Carolyn B. Maloney, David  Scott, James A. Himes, Bill  Foster, Gregory W. Meeks, Juan  Vargas, Josh  Gottheimer, Vicente  Gonzalez, Michael F. Q. San Nicolas, Katie  Porter, Cynthia  Axne, Sean  Casten, Alexandria  Ocasio-Cortez, Bill  Huizenga, Steve  Stivers, Ann  Wagner, J. French Hill, Tom  Emmer, Alexander X. Mooney, Warren  Davidson, Trey  Hollingsworth, Anthony  Gonzalez, Bryan  Steil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA01, Emanuel  Cleaver, Ed  Perlmutter, James A. Himes, Denny  Heck, Brad  Sherman, Juan  Vargas, Josh  Gottheimer, Michael F. Q. San Nicolas, Ben  McAdams, Jennifer  Wexton, Stephen F. Lynch, Tulsi  Gabbard," Jeses G. ""Chuy"" Garcea", J. French Hill, Frank D. Lucas, Roger  Williams, Tom  Emmer, Anthony  Gonzalez, John W. Rose, Denver  Riggleman, William R. Timmons, Van  Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA09, Al  Green, Joyce  Beatty, Stephen F. Lynch, Nydia M. Velezquez, Ed  Perlmutter, Rashida  Tlaib, Sean  Casten, Madeleine  Dean, Sylvia R. Garcia, Dean  Phillips, Andy  Barr, Lee M. Zeldin, Barry  Loudermilk, Warren  Davidson, John W. Rose, William R. Timmons, Van  Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA00, Eliot L. Engel, Brad  Sherman, Gregory W. Meeks, Albio  Sires, Gerald E. Connolly, Theodore E. Deutch, Karen  Bass, William R. Keating, David N. Cicilline, Ami  Bera, Joaquin  Castro, Dina  Titus, Adriano  Espaillat, Ted  Lieu, Susan  Wild, Dean  Phillips, Ilhan  Omar, Colin Z. Allred, Andy  Levin, Abigail Davis Spanberger, Chrissy  Houlahan, Tom  Malinowski, David J. Trone, Jim  Costa, Juan  Vargas, Vicente  Gonzalez, Michael T. McCaul, Christopher H. Smith, Steve  Chabot, Joe  Wilson, Scott  Perry, Ted S. Yoho, Adam  Kinzinger, Lee M. Zeldin, F. James Sensenbrenner, Ann  Wagner, Brian J. Mast, Francis  Rooney, Brian K. Fitzpatrick, John R. Curtis, Ken  Buck, Ron  Wright, Guy  Reschenthaler, Tim  Burchett, Greg  Pence, Michael  Guest, Mark E. Green,,,,,,,,,,,,,,,,,,,,
