Committee,Code
Subcommittee on Aviation (Committee on Transportation and Infrastructure),PW05
Subcommittee on Coast Guard and Maritime Transportation (Committee on Transportation and Infrastructure),PW07
"Subcommittee on Economic Development, Public Buildings, and Emergency Management (Committee on Transportation and Infrastructure)",PW13
Subcommittee on Highways and Transit (Committee on Transportation and Infrastructure),PW12
"Subcommittee on Railroads, Pipelines, and Hazardous Materials (Committee on Transportation and Infrastructure)",PW14
Subcommittee on Water Resources and Environment (Committee on Transportation and Infrastructure),PW02
Committee on Veterans' Affairs,VR00
Subcommittee on Disability Assistance and Memorial Affairs (Committee on Veterans' Affairs),VR09
Subcommittee on Economic Opportunity (Committee on Veterans' Affairs),VR10
Subcommittee on Health (Committee on Veterans' Affairs),VR03
Subcommittee on Oversight and Investigations (Committee on Veterans' Affairs),VR08
Subcommittee on Technology Modernization (Committee on Veterans' Affairs),VR11
Committee on Ways and Means,WM00
Subcommittee on Health (Committee on Ways and Means),WM02
Subcommittee on Oversight (Committee on Ways and Means),WM06
Subcommittee on Select Revenue Measures (Committee on Ways and Means),WM05
Subcommittee on Social Security (Committee on Ways and Means),WM01
Subcommittee on Trade (Committee on Ways and Means),WM04
Subcommittee on Worker and Family Support (Committee on Ways and Means),WM03
Joint Committee on the Library,JL00
Joint Committee on Printing,JP00
Joint Committee on Taxation,IT00
Joint Economic Committee,EC00
Permanent Select Committee on Intelligence,IG00
"Subcommittee on Counterterrorism, Counterintelligence, and Counterproliferation (Permanent Select Committee on Intelligence)",IG05
Subcommittee on Defense Intelligence and Warfighter Support (Permanent Select Committee on Intelligence),IG06
Subcommittee on Intelligence Modernization and Readiness (Permanent Select Committee on Intelligence),IG08
Subcommittee on Strategic Technologies and Advanced Research (Permanent Select Committee on Intelligence),IG10
Select Committee on the Climate Crisis,CN00
Select Committee on Economic Disparity and Fairness in Growth,EF00
Select Committee on the Modernization of Congress,MH00
Select Committee to Investigate the January 6th Attack on the United States Capitol,IJ00
"Subcommittee on the Constitution, Civil Rights, and Civil Liberties (Committee on the Judiciary)",JU10
Committee on Veterans Affairs,VR00
"Subcommittee on the Departments of Labor, Health and Human Services, Education, and Related Agencies (Committee on Appropriations)",AP07
"Subcommittee on Crime, Terrorism, and Homeland Security (Committee on the Judiciary)",JU08
"Subcommittee on Western Hemisphere, Civilian Security, Migration and International Economic Policy (Committee on Foreign Affairs)",FA07
Subcommittee on the Department of Homeland Security (Committee on Appropriations),AP15
"Subcommittee on International Development, International Organizations and Global Corporate Social I (Committee on Foreign Affairs)",FA17
"Subcommittee on Middle East, North Africa and Global Counterterrorism (Committee on Foreign Affairs)",FA13
"Subcommittee on Europe, Energy, the Environment and Cyber (Committee on Foreign Affairs)",FA14
Subcommittee on Health (Committee on Veterans Affairs),VR03
"Subcommittee on Asia, the Pacific, Central Asia and Nonproliferation (Committee on Foreign Affairs)",FA05
Subcommittee on Disability Assistance and Memorial Affairs (Committee on Veterans Affairs),VR09
Subcommittee on Indigenous Peoples of the United States (Committee on Natural Resources),II24
Subcommittee on Oversight and Investigations (Committee on Veterans Affairs),VR08
"Subcommittee on the Departments of Transportation, and House and Urban Development, and Related Agen (Committee on Appropriations)",AP20
Subcommittee on Economic Opportunity (Committee on Veterans Affairs),VR10
Subcommittee on Technology Modernization (Committee on Veterans Affairs),VR11
"Subcommittee on the Departments of Transportation, and Housing and Urban Development, and Related Ag (Committee on Appropriations)",AP20
Subcommittee Homeland Security (Committee on Appropriations),AP15
Subcommittee on National Security (Committee on Oversight and Accountability),GO06
Subcommittee on Government Operations (Committee on Oversight and Accountability),GO24
Subcommittee on Workforce Protections (Committee on Education and the Workforce),ED10
Subcommittee on Higher Education and Workforce Investment (Committee on Education and the Workforce),ED13
Subcommittee on Civil Rights and Human Services (Committee on Education and the Workforce),ED07
"Subcommittee on Early Childhood, Elementary, and Secondary Education (Committee on Education and the Workforce)",ED14
"Subcommittee on Health, Employment, Labor, and Pensions (Committee on Education and the Workforce)",ED02
Subcommittee on Environment (Committee on Oversight and Accountability),GO28
Subcommittee on Economic and Consumer Policy (Committee on Oversight and Accountability),GO05
Subcommittee on Civil Rights and Civil Liberties (Committee on Oversight and Accountability),GO02
